Province,City_District,Region_Type,Industry_Type,User_Type,Age_Group,Gender,Year_Month,User_Count,Transaction_Count,Transaction_Amount
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,20s,M,2018-12,601,791,34128787
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,60s_and_above,F,2018-12,210,250,36923649
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,60s_and_above,M,2018-12,523,649,75543214
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,50s,F,2018-12,501,610,74534806
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,50s,M,2018-12,1284,1669,201011932
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,40s,F,2018-12,697,864,104890474
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,40s,M,2018-12,1445,1893,240588664
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,30s,F,2018-12,722,853,72914516
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,30s,M,2018-12,1162,1396,147070430
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,Under_20,F,2018-12,18,19,1574244
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,Under_20,M,2018-12,22,23,1007050
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,20s,F,2018-12,653,710,58217084
Jeju-do,Jeju-si,Urban,Accommodation,Domestic_Tourist,20s,M,2018-12,696,788,54550691
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,60s_and_above,F,2018-12,11643,35344,1140045324
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,60s_and_above,M,2018-12,14851,45375,1237465171
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,50s,F,2018-12,21410,70176,1952295014
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,50s,M,2018-12,27486,91999,2034383049
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,40s,F,2018-12,28678,96631,2375472748
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,40s,M,2018-12,36807,130319,2529177251
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,30s,F,2018-12,23153,72339,1536281893
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,30s,M,2018-12,29813,109220,1660109894
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,Under_20,F,2018-12,1668,4677,29354205
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,Under_20,M,2018-12,1948,7113,36349007
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,20s,F,2018-12,19385,64178,780068567
Jeju-do,Jeju-si,Urban,Shopping,Jeju_Resident,20s,M,2018-12,21418,80876,783036288
Jeju-do,Jeju-si,Urban,Shopping,Domestic_Tourist,60s_and_above,F,2018-12,4303,8326,368451592
Jeju-do,Jeju-si,Urban,Shopping,Domestic_Tourist,60s_and_above,M,2018-12,6989,13782,546073169
